"Name","Price","genres","features","developer","publisher","platform","Release date","note critique","moyenne avis","Classification OpenCritique"
"Jaws of Extinction","15,99 €","","Survie Solo","KYE Creations","Forthright Entertainment","Windows","22/09/21","","",""
"Jetboard Joust","7,99 €","","Action Indépendant Solo Compatibilité manette","Bitbull LTD","Freedom Games","Windows Mac OS","20/08/21","","",""
"JETT: The Far Shore","23,99 €","","Exploration Monde ouvert Aventure Solo","Superbrothers + Pine Scented","Superbrothers + Pine Scented","Windows","05/10/21","28 ","66","Passable"
"John Wick Hex","15,99 €","","Action Stratégie Solo","Bithell Games","Good Shepherd Entertainment","Windows Mac OS Mac OS","08/10/19","65 ","75","Très bien"
"Jotun: Valhalla Edition","14,99 €","","Action Indépendant Aventure Compatibilité manette","Thunder Lotus","Thunder Lotus","Windows Mac OS Mac OS","06/12/19","50 ","75","Très bien"
"Journey","14,99 €","","Indépendant Aventure Coopération Solo","thatgamecompany","Annapurna Interactive","Windows","06/06/19","96 ","93","Super"
"Journey to the Savage Planet","29,99 €","","Action Exploration Solo","Typhoon Studios","505 Games","Windows","28/01/20","78 ","76","Très bien"
"Jurassic World Evolution","44,99 €","","Simulation Stratégie Solo","Frontier Developments","Frontier Developments","Windows","31/12/20","40 ","71","Passable"
"Jurassic World Evolution 2","59,99 €","","Stratégie Solo","Frontier Developments","Frontier Developments","Windows","09/11/21","67 ","78","Très bien"
"Just Cause 4 - Édition Standard","32,99 €","","Action Monde ouvert Solo","Avalanche Studios","Square Enix","Windows","23/04/20","30 ","68","Passable"
"Just Die Already","13,99 €","","Monde ouvert Comédie Aventure Coopération Multijoueur Solo","DoubleMoose","Curve Digital","Windows","20/05/21","","",""
"Ken Follett's The Pillars of the Earth","19,99 €","","Casse-tête Narration Aventure Solo Compatibilité manette","Daedalic Entertainment","Daedalic Entertainment","Windows","15/04/21","","",""
"KenShape","3,19 €","","","Kenney","Kenney","Windows","22/04/21","","",""
"KeyWe NOUVEAU CHEZ EPIC","19,99 €","","Casual Coopération","Stonewheat & Sons","Fireshine Games","Windows","28/04/22","62 ","75","Très bien"
"KID A MNESIA EXHIBITION","Gratuit","","Exploration Première personne Solo Compatibilité manette","[namethemachine] x Arbitrarily Good Productions","Epic Games Publishing","Windows Mac OS","18/11/21","","",""
"Kill It With Fire","11,99 €","","Indépendant Simulation Solo","Casey Donnellan Games LLC","tinyBuild","Windows","13/08/20","54 ","69","Passable"
"Killing Floor 2","24,99 €","","Action Horreur Première personne Survie Jeux de tir Coopération Multijoueur","Tripwire Interactive","Tripwire Interactive","Windows","09/07/20","68 ","78","Très bien"
"Kine","11,99 €","","Casse-tête Narration Stratégie Solo","Gwen Frey","Gwen Frey","Windows","24/02/20","","",""
"King's Bounty II","49,99 €","","Jeux de rôle Aventure Solo","1C Entertainment","Prime Matter,1C Entertainment","Windows","24/08/21","","",""
"Kingdom Come: Deliverance","29,99 €","","Action Jeux de rôle Monde ouvert Aventure Succès Compatibilité manette Solo","Warhorse Studios","Prime Matter","Windows","13/02/18","48 ","72","Passable"
"KINGDOM HEARTS HD 1.5 + 2.5 ReMIX","29,99 €","","","","","Windows","","89 ","82","Très bien"
"KINGDOM HEARTS HD 2.8 Final Chapter Prologue","35,99 €","","","","","Windows","","47 ","76","Très bien"
"KINGDOM HEARTS III + Re Mind (DLC)","35,99 €","","","","","Windows","","85 ","84","Super"
"KINGDOM HEARTS Melody of Memory","29,99 €","","","","","Windows","","65 ","76","Très bien"
"Kingdom New Lands","14,99 €","","Simulation Survie Stratégie Compatibilité manette Solo","noio","Raw Fury","Windows Mac OS Mac OS","21/10/15","50 ","73","Passable"
"Kingdoms of Amalur: Re-Reckoning","39,99 €","","Action Combat Jeux de rôle","KAIKO, Big Huge Games","THQ Nordic","Windows","08/09/20","56 ","72","Passable"
"Kitaria Fables","19,99 €","","Jeux de rôle Aventure Coopération Solo","Twin Hearts","PQube Limited","Windows","27/01/22","","",""
"Knight Squad 2","11,99 €","","Action Multijoueur","Chainsawesome Games","Chainsawesome Games","Windows","14/04/21","","",""
"Knockout City™","19,99 €","","Action Multijoueur Compétitif","Velan Studios","Electronic Arts","Windows","30/05/21","","",""
"Kombinara","11,99 €","","Casse-tête Jeux de plateforme Solo","Graphite Lab","Atari Inc.","Windows","07/04/22","","",""
"KORAL","7,99 €","","Casse-tête Casual Exploration Solo Compatibilité manette","Carlos Coronado","Carlos Coronado","Windows","30/06/21","","",""
